city;month;avg_mth_en_consumption_house_kwh;energy_price_eur_kwh;solar_panel_brand;solar_panel_power_kwh;solar_panel_efficiency_%
luxembourg;8;339;0.1696;jinko_solar;405;0.8
luxembourg;9;311;0.1696;jinko_solar;405;0.8
luxembourg;10;328;0.1696;jinko_solar;405;0.8
luxembourg;11;364;0.1696;jinko_solar;405;0.8
luxembourg;12;383;0.1696;jinko_solar;405;0.8
madrid;1;470;0.2966;jinko_solar;405;0.8
madrid;2;443;0.2966;jinko_solar;405;0.8
madrid;3;460;0.2966;jinko_solar;405;0.8
madrid;4;459;0.2966;jinko_solar;405;0.8
madrid;5;454;0.2966;jinko_solar;405;0.8
madrid;6;465;0.2966;jinko_solar;405;0.8
madrid;7;473;0.2966;jinko_solar;405;0.8
madrid;8;463;0.2966;jinko_solar;405;0.8
madrid;9;451;0.2966;jinko_solar;405;0.8
madrid;10;440;0.2966;jinko_solar;405;0.8
madrid;11;425;0.2966;jinko_solar;405;0.8
madrid;12;425;0.2966;jinko_solar;405;0.8
minsk;1;347;0.056;jinko_solar;405;0.8
minsk;2;315;0.056;jinko_solar;405;0.8
minsk;3;332;0.056;jinko_solar;405;0.8
minsk;4;375;0.056;jinko_solar;405;0.8
minsk;5;430;0.056;jinko_solar;405;0.8
minsk;6;459;0.056;jinko_solar;405;0.8
minsk;7;459;0.056;jinko_solar;405;0.8
minsk;8;416;0.056;jinko_solar;405;0.8
minsk;9;373;0.056;jinko_solar;405;0.8
minsk;10;346;0.056;jinko_solar;405;0.8
minsk;11;325;0.056;jinko_solar;405;0.8
minsk;12;315;0.056;jinko_solar;405;0.8
oslo;1;1316;0.2751;jinko_solar;405;0.8
oslo;2;1180;0.2751;jinko_solar;405;0.8
oslo;3;1187;0.2751;jinko_solar;405;0.8
oslo;4;1085;0.2751;jinko_solar;405;0.8
oslo;5;1136;0.2751;jinko_solar;405;0.8
oslo;6;1296;0.2751;jinko_solar;405;0.8
oslo;7;1517;0.2751;jinko_solar;405;0.8
oslo;8;1513;0.2751;jinko_solar;405;0.8
oslo;9;1355;0.2751;jinko_solar;405;0.8
