,city,month,latitude,longitude,hours_of_sun,temp,humidity,precip,cloudcover,avg_mth_en_consumption_house_kwh,energy_price_eur_kwh,solar_panel_power_kwh,monthly_energy_produced_kwh,montlhy_energy_cost_eur,montlhy_solar_panel_cost_saved,money_saved,encoded_city,country
124,helsinki,5,60.171,24.933,534.1525,9.577419354838709,64.93548387096774,1.5381935483870968,52.11290322580645,417,0.1873,405,103.59500046169356,78.1041,19.403343586475202,25.0,10,finland
125,helsinki,6,60.171,24.933,563.28,16.756666666666668,68.68,0.8127333333333333,39.626666666666665,443,0.1873,405,137.72871935999999,82.9739,25.796589136127995,31.0,10,finland
126,helsinki,7,60.171,24.933,557.6933333333334,18.480645161290322,71.2741935483871,1.0170322580645161,40.37096774193548,472,0.1873,405,134.6815907419355,88.40559999999999,25.22586194596452,29.0,10,finland
127,helsinki,8,60.171,24.933,483.3538888888889,19.361290322580647,74.96774193548387,0.4746451612903226,32.39032258064516,488,0.1873,405,132.35157205403226,91.4024,24.78944944572024,27.0,10,finland
128,helsinki,9,60.171,24.933,386.00555555555553,10.563333333333333,76.73,1.1792,53.45333333333333,466,0.1873,405,72.7674513,87.2818,13.62934362849,16.0,10,finland
129,helsinki,10,60.171,24.933,313.4675,8.658064516129032,85.61612903225806,1.2355806451612903,61.47096774193548,498,0.1873,405,48.9142776483871,93.27539999999999,9.161644203542904,10.0,10,finland
130,helsinki,11,60.171,24.933,225.45555555555558,3.243333333333333,87.59333333333333,1.3840333333333334,85.9,544,0.1873,405,12.874639499999994,101.8912,2.4114199783499988,2.0,10,finland
131,helsinki,12,60.171,24.933,185.29222222222222,-1.929032258064516,90.73225806451612,1.965967741935484,79.53870967741935,560,0.1873,405,15.354837711290328,104.88799999999999,2.8759611033246784,3.0,10,finland
132,kyiv,1,50.451,30.524,266.0805555555556,-1.3741935483870968,81.83225806451614,1.7322580645161292,80.03870967741935,321,0.042,405,21.51081043548388,13.482000000000001,0.903454038290323,7.0,11,ukraine
133,kyiv,2,50.451,30.524,281.9533333333333,1.5857142857142856,76.41785714285713,0.5892857142857143,56.43928571428571,293,0.042,405,49.74245881071428,12.306000000000001,2.08918327005,17.0,11,ukraine
134,kyiv,3,50.451,30.524,369.06444444444446,2.225806451612903,60.63225806451613,0.4096774193548387,52.54516129032258,322,0.042,405,70.93126942258064,13.524000000000001,2.979113315748387,22.0,11,ukraine
135,kyiv,4,50.451,30.524,414.57,7.996666666666667,69.52,1.4966666666666666,80.82333333333332,377,0.042,405,32.19778633500002,15.834000000000001,1.3523070260700008,9.0,11,ukraine
136,kyiv,5,50.451,30.524,480.05555555555554,14.432258064516128,51.63548387096775,1.1290322580645162,59.56774193548387,444,0.042,405,78.60940693548386,18.648,3.3015950912903222,18.0,11,ukraine
