,city,month,latitude,longitude,hours_of_sun,temp,humidity,precip,cloudcover,avg_mth_en_consumption_house_kwh,energy_price_eur_kwh,solar_panel_power_kwh,monthly_energy_produced_kwh,montlhy_energy_cost_eur,montlhy_solar_panel_cost_saved,money_saved,solar_panel_price,years_to_pay_the_solar_panel
234,luxembourg,7,49.61,6.13,489.97194444444443,20.654838709677417,54.27096774193548,0.21283870967741936,36.50322580645161,344,0.1696,405.0,125.73395225088086,58.3424,21.324478301749394,37.0,700,2.7355104546003286
235,luxembourg,8,49.61,6.13,445.8597222222222,21.661290322580644,54.92580645161291,0.6900645161290322,38.809677419354834,339,0.1696,405.0,109.73084075950767,57.4944,18.6103505928125,32.0,700,3.134456443601994
236,luxembourg,9,49.61,6.13,377.99361111111114,13.99,77.21333333333334,1.7801666666666667,56.64333333333333,311,0.1696,405.0,65.1920384587815,52.7456,11.056569722609343,21.0,700,5.275897931891909
237,luxembourg,10,49.61,6.13,333.46916666666664,12.919354838709678,86.8741935483871,1.0269032258064517,62.32258064516129,328,0.1696,405.0,50.36270121322202,55.6288,8.541514125762454,15.0,700,6.82939025498904
238,luxembourg,11,49.61,6.13,273.18361111111113,7.48,91.65,0.37456666666666666,77.8,364,0.1696,405.0,24.469937640785478,61.7344,4.150101423877217,7.0,700,14.05588138104722
239,luxembourg,12,49.61,6.13,254.7941666666667,2.803225806451613,89.56451612903226,0.3596451612903226,75.38387096774194,383,0.1696,405.0,25.31043034097694,64.9568,4.292648985829689,7.0,700,13.589122596768435
240,madrid,1,40.42,-3.6919999999999997,299.7311111111111,6.625806451612903,62.31935483870968,0.4116451612903226,25.548387096774192,470,0.2966,405.0,90.00559672248211,139.402,26.69565998788819,19.0,700,2.185124224679185
241,madrid,2,40.42,-3.692,299.0225,9.782142857142857,57.625,0.2315,39.839285714285715,443,0.2966,405.0,72.6884349249368,131.3938,21.55938979873625,16.0,700,2.705704283743349
242,madrid,3,40.42,-3.6919999999999997,370.79083333333335,9.906451612903227,71.85806451612903,3.3054193548387096,78.74838709677418,460,0.2966,405.0,30.858729613051047,136.43599999999998,9.15269920323094,7.0,700,6.373347581743037
243,madrid,4,40.42,-3.692,398.98333333333335,11.896666666666667,63.11,1.8480333333333334,50.266666666666666,459,0.2966,405.0,78.87808385121899,136.1394,23.39523967027155,17.0,700,2.4933847293497826
